"Story","Title","Result","Date","Stability","Duration (s)"
"Log in","Try to log in with valid credentials","ERROR","2023-05-22T01:00:06.6646914-05:00[America/Bogota]","0.0","46.42"
"Log in","Try to log in with not valid credentials","SUCCESS","2023-05-22T01:00:54.472284-05:00[America/Bogota]","0.0","32.04"
